City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Wanning,CN,80.98,clear sky,18.8003,110.3967,Paradise Hotel
607,Nabire,ID,76.41,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
614,Indapur,IN,77.74,overcast clouds,18.3,73.25,Hotel Open Umbrella
627,Kulhudhuffushi,MV,81.82,broken clouds,6.6221,73.07,Haajy Guest House 1
628,Sakaiminato,JP,78.78,broken clouds,35.55,133.2333,Italian pasley
637,Tual,ID,79.84,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
643,Balykshi,KZ,77.0,light intensity shower rain,47.0667,51.8667,Гостиница Golden Rose
647,Kaifeng,CN,77.85,overcast clouds,34.7911,114.3483,Pullman Kaifeng Jianye
649,Khargapur,IN,79.3,moderate rain,24.823,79.144,Sajid house
650,Todos Santos,MX,81.05,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
653,Amahai,ID,77.13,broken clouds,-3.3333,128.9167,HOTEL ISABELA
656,Jiaocheng,CN,81.68,broken clouds,24.6774,116.1389,Changtan Tourism Resort
657,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
661,Aland,IN,78.28,overcast clouds,17.5667,76.5667,Taj Hotel
662,Batticaloa,LK,80.13,overcast clouds,7.7102,81.6924,Grand Star Guest House
678,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
679,Orito,CO,80.55,broken clouds,0.6766,-76.8771,Mayju
694,Fomboni,KM,77.07,clear sky,-12.28,43.7425,Auberge les abou
698,Wenling,CN,79.95,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
704,Sao Sebastiao,BR,75.9,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
710,Inongo,CD,75.88,overcast clouds,-1.95,18.2667,Hotel Du Lac
